n,h,raw_value,bgk_corrected_value,raw_error,bgk_corrected_error,raw_abs_error,bgk_corrected_abs_error,zeta_half_estimate,bgk_beta_estimate
64.0,0.015625,1.8252580140279662,2.0078023276291646,-0.17474198597203383,0.007802327629164552,0.17474198597203383,0.007802327629164552,-1.3979358877762706,0.5576957309244668
128.0,0.0078125,1.8748253848637397,2.003903706878191,-0.12517461513626027,0.00390370687819086,0.12517461513626027,0.00390370687819086,-1.416189107124254,0.5649777118758189
256.0,0.00390625,1.9106803324171295,2.0019524892177287,-0.08931966758287047,0.0019524892177287256,0.08931966758287047,0.0019524892177287256,-1.4291146813259274,0.5701342699233323
512.0,0.001953125,1.9364372425470928,2.0009764035543185,-0.06356275745290718,0.0009764035543184946,0.06356275745290718,0.0009764035543184946,-1.4382610184277258,0.573783130504044
1024.0,0.0009765625,1.954852163113273,2.0004882415135725,-0.04514783688672708,0.0004882415135725182,0.04514783688672708,0.0004882415135725182,-1.4447307803752665,0.5763641920890503
2048.0,0.00048828125,1.9679745501872796,2.0002441306908922,-0.032025449812720375,0.00024413069089224138,0.032025449812720375,0.00024413069089224138,-1.4493064149199375,0.578189606168585
4096.0,0.000244140625,1.9773040286288233,2.000122067828973,-0.022695971371176737,0.0001220678289728383,0.022695971371176737,0.0001220678289728383,-1.4525421677553112,0.5794804847835443
8192.0,0.0001220703125,1.983926244283562,2.0000610345353684,-0.0160737557164381,6.103453536843162e-05,0.0160737557164381,6.103453536843162e-05,-1.4548302932773647,0.5803933147971571
16384.0,6.103515625e-05,1.9886214978228298,2.0000305174229047,-0.01137850217717018,3.0517422904718927e-05,0.01137850217717018,3.0517422904718927e-05,-1.456448278677783,0.5810387975824561
32768.0,3.0517578125e-05,1.9919478636243542,2.0000152587502575,-0.008052136375645835,1.5258750257540754e-05,0.008052136375645835,1.5258750257540754e-05,-1.457592379970058,0.5814952279610066
65536.0,1.52587890625e-05,1.9943031195847924,2.0000076293848297,-0.00569688041520755,7.629384829677122e-06,0.00569688041520755,7.629384829677122e-06,-1.4584013862931329,0.5818179747883933
131072.0,7.62939453125e-06,1.9959701171318884,2.00000381469484,-0.004029882868111567,3.814694840009736e-06,0.004029882868111567,3.814694840009736e-06,-1.4589734417557414,0.5820461918991624
262144.0,3.814697265625e-06,1.9971496524480075,2.000001907348026,-0.002850347551992538,1.9073480261866393e-06,0.002850347551992538,1.9073480261866393e-06,-1.4593779466201795,0.5822075659922148
