refinement,spherical_nodes,interior_dofs,sparse_nnz,angular_eigenvalue,kondratiev_exponent,exponent_abs_error,relative_residual,inverse_iterations,cg_iterations,solve_ms,stored_dense_matrix,coupled_vertex_abs_error_at_512
4,63,51,654,0.7175336515565216,0.48363288454408726,0.029459169213477243,5.673160853733905e-10,12,224,6.067417009035125,False,1.2225245024435893e-06
6,136,118,1568,0.688631663793788,0.46883004897339353,0.014656333642783514,4.3858844115257476e-10,11,323,19.31970802252181,False,6.325070753335216e-07
8,237,213,2874,0.6776238721914496,0.4631323233032155,0.008958607972605503,1.0769344555496839e-09,11,467,46.85608300496824,False,3.9248124388685524e-07
12,523,487,6662,0.6690891627019164,0.45869138032106893,0.004517664990458914,4.780737772805893e-10,11,708,157.92304198839702,False,2.0025543186197314e-07
16,921,873,12018,0.6658038862980654,0.4569764293325439,0.0028027140019338814,4.742878079895519e-10,11,956,386.28262499696575,False,1.2479989674671343e-07
