t,f,Q,R_over_D,abs_residual
-3.0,-0.5640510790560788,-0.56,-0.00405107905607871,0.00405107905607871
-2.985,-0.5613523562787633,-0.5573,-0.004052356278763325,0.004052356278763325
-2.97,-0.558653487131212,-0.5546,-0.004053487131212008,0.004053487131212008
-2.955,-0.5559544675765238,-0.5519000000000001,-0.004054467576523724,0.004054467576523724
-2.94,-0.5532552934729393,-0.5492,-0.004055293472939314,0.004055293472939314
-2.925,-0.5505559605709942,-0.5465,-0.0040559605709942215,0.0040559605709942215
-2.91,-0.5478564645105897,-0.5438000000000001,-0.004056464510589608,0.004056464510589608
-2.895,-0.5451568008179847,-0.5411,-0.0040568008179846515,0.0040568008179846515
-2.88,-0.5424569649027058,-0.5384,-0.004056964902705795,0.004056964902705795
-2.865,-0.5397569520543742,-0.5357000000000001,-0.004056952054374174,0.004056952054374174
-2.85,-0.5370567574394439,-0.533,-0.004056757439443892,0.004056757439443892
-2.835,-0.5343563760978541,-0.5303,-0.004056376097854142,0.004056376097854142
-2.82,-0.5316558029395935,-0.5276,-0.004055802939593511,0.004055802939593511
-2.805,-0.528955032741169,-0.5249,-0.004055032741168918,0.004055032741168918
-2.79,-0.5262540601419858,-0.5222,-0.004054060141985838,0.004054060141985838
-2.775,-0.5235528796406302,-0.5195,-0.00405287964063028,0.00405287964063028
-2.76,-0.5208514855910563,-0.5167999999999999,-0.004051485591056392,0.004051485591056392
-2.745,-0.518149872198675,-0.5141,-0.004049872198675031,0.004049872198675031
-2.73,-0.5154480335163433,-0.5114,-0.004048033516343308,0.004048033516343308
-2.715,-0.5127459634402532,-0.5086999999999999,-0.0040459634402533196,0.0040459634402533196
-2.7,-0.5100436557057176,-0.506,-0.00404365570571763,0.00404365570571763
-2.685,-0.507341103882855,-0.5033,-0.004041103882855057,0.004041103882855057
-2.67,-0.5046383013721663,-0.5005999999999999,-0.00403830137216632,0.00403830137216632
-2.6550000000000002,-0.5019352414000126,-0.49790000000000006,-0.00403524140001249,0.00403524140001249
-2.64,-0.49923191701398006,-0.49520000000000003,-0.004031917013980035,0.004031917013980035
-2.625,-0.496528321078148,-0.4925,-0.0040283210781479895,0.0040283210781479895
-2.61,-0.49382444626824357,-0.48979999999999996,-0.004024446268243609,0.004024446268243609
-2.5949999999999998,-0.4911202850666964,-0.4871,-0.0040202850666964385,0.0040202850666964385
-2.58,-0.48841582975758663,-0.4844,-0.004015829757586631,0.004015829757586631
-2.565,-0.4857110724214908,-0.4817,-0.004011072421490791,0.004011072421490791
-2.55,-0.4830060049302251,-0.479,-0.004006004930225127,0.004006004930225127
-2.535,-0.4803006189414911,-0.4763,-0.004000618941491119,0.004000618941491119
-2.52,-0.47759490589342285,-0.4736,-0.003994905893422829,0.003994905893422829
-2.505,-0.474888856999043,-0.4709,-0.003988856999043,0.003988856999043
-2.49,-0.47218246324062874,-0.46820000000000006,-0.003982463240628675,0.003982463240628675
-2.475,-0.4694757153639942,-0.4655,-0.003975715363994159,0.003975715363994159
