shape,n_slices,n_theta,nodes,surface_area,inverse_square_relative_error,inverse_cube_relative_error,inverse_square_direct_ms,inverse_square_tree_ms,inverse_square_speedup,inverse_cube_direct_ms,inverse_cube_tree_ms,inverse_cube_speedup,tree_direct_pairs,tree_accepted_blocks,constant_residual,stored_geometry_scalars,generated_entries,dense_entries_avoided,stored_dense_matrix
circular_cylinder,8,16,128,15.079644737231007,0.00038221089331728626,0.0009027572923848843,3.650833008578047,8.450458000879735,0.43202782715421784,3.650583006674424,8.40687500021886,0.4342378120977636,6688,1416,0.0,288,128,16384,False
circular_cylinder,16,24,384,15.079644737231007,0.00044565669496084793,0.0013378293418914492,28.28787500038743,47.26066600414924,0.5985500711713182,28.518874998553656,46.79320799186826,0.6094661217394985,24816,11032,0.0,576,384,147456,False
circular_cylinder,32,32,1024,15.079644737231003,0.00038499340303735943,0.0013297291615999157,193.42837498697918,186.6216659982456,1.0364733052420483,192.75379199825693,180.7549170043785,1.06638201158084,58224,50340,0.0,1152,1024,1048576,False
elliptic_taper,8,16,128,11.001984509516566,0.000739629704962572,0.0008362706974092586,3.581124998163432,7.217375008622184,0.49618108992331245,3.561499994248152,7.314792004763149,0.48689012509569946,6568,1047,0.0,288,128,16384,False
elliptic_taper,16,24,384,11.002046210869283,0.00075053552285677,0.0019082134310160436,28.87108299182728,49.27412499091588,0.5859278677632513,28.466042000218295,47.58145799860358,0.5982591370162241,17664,12035,0.0,576,384,147456,False
elliptic_taper,32,32,1024,11.00204954402553,0.0005399300320322796,0.0013958265837589882,192.70395800413098,187.83425001311116,1.0259255593198786,188.03495798783842,184.49904200679157,1.019164955777476,53492,52451,0.0,1152,1024,1048576,False
bent_tube,8,16,128,10.280350804350478,0.0008450528735790164,0.0008395702816951294,3.641167000751011,7.188290997873992,0.5065414020979288,3.675750005641021,7.12912499147933,0.5155962351669029,5862,1022,0.0,288,128,16384,False
bent_tube,16,24,384,10.280782481591364,0.001025411026029719,0.001364492682050592,27.735249997931533,41.54512500099372,0.6675933697941246,27.723042003344744,41.625167010352015,0.666016354876129,27306,8778,0.0,576,384,147456,False
bent_tube,32,32,1024,10.28080362218248,0.0009619900725846182,0.0016798175465854168,190.68058299308177,187.77033399965148,1.0154989818223132,188.5993750038324,193.6467920022551,0.9739349309831896,71066,50942,0.0,1152,1024,1048576,False
twisted_ellipse,8,16,128,12.169711405713072,0.0006912044995391155,0.001134027502683788,3.5538329975679517,7.6072920055594295,0.4671613755552963,3.566833009244874,7.588374995975755,0.470039107336739,5872,1172,0.0,288,128,16384,False
twisted_ellipse,16,24,384,12.17055002875914,0.0004669933419782582,0.0010112069222019762,27.853166000568308,44.251917002839036,0.6294228111921424,27.773875001003034,45.857416989747435,0.605657204966703,33360,8940,0.0,576,384,147456,False
twisted_ellipse,32,32,1024,12.170574167123323,0.0007354329445842235,0.0014080572795470982,192.94775000889786,191.6420830093557,1.0068130495089558,191.8977910099784,201.75187500717584,0.9511574105725314,69412,52356,0.0,1152,1024,1048576,False
toroidal_bundle,8,16,128,21.446173197441247,0.0011740191368817736,0.0017607691122871604,3.648416997748427,6.6817089973483235,0.546030513929344,3.780875005759299,6.624582994845696,0.5707340384596337,2083,1410,0.0,288,128,16384,False
toroidal_bundle,16,24,384,22.308712293379692,0.0011812502326656754,0.002230192644524153,28.732666993164457,31.199542005197145,0.9209323325444405,27.808708997326903,30.90116700332146,0.8999242324517336,12354,7402,0.0,576,384,147456,False
toroidal_bundle,32,32,1024,22.876974912814052,0.0011057414178552306,0.002208836252588144,191.26875000074506,127.07750000117812,1.5051346619108168,189.67445800080895,130.31620800029486,1.4554939935052422,30650,35535,0.0,1152,1024,1048576,False
aircraft_body,8,16,128,14.853839413271087,0.0009216994586335908,0.0008533390626395605,3.713875004905276,7.041666001896374,0.5274142516707128,3.6265409871703014,6.952666997676715,0.5216042978014245,5276,1028,0.0,288,128,16384,False
aircraft_body,16,24,384,15.016087432912922,0.0009214848314091571,0.001308786772096567,28.96691700152587,42.61320800287649,0.6797638187570985,27.82804200251121,41.22270799416583,0.6750658400813857,25452,9032,0.0,576,384,147456,False
aircraft_body,32,32,1024,15.052862331616819,0.0009834118165277833,0.0015606810183646609,191.7984999890905,181.43716700433288,1.0571070037954802,198.42129199241754,184.68733299232554,1.0743632970251549,75280,46778,0.0,1152,1024,1048576,False
