n_slices,n_theta,nodes,tree_ms,direct_ms,tree_relative_error,stored_dense_matrix
8,24,192,12.303542011068203,7.4550830031512305,0.0011066905789363997,False
12,24,288,24.9299169954611,15.921416998025961,0.0007997627250813025,False
16,24,384,41.21604199463036,28.215083002578467,0.0009214848314091571,False
24,24,576,80.36808398901485,63.61033300345298,0.0008327001807079692,False
32,24,768,127.61904200306162,106.97579200495966,0.0008573398728760433,False
48,24,1152,231.3306249998277,0.0,0.0,False
64,24,1536,332.3601250012871,0.0,0.0,False
96,24,2304,584.5860830013407,0.0,0.0,False
