distortion,parameterization,spacing_ratio,compile_ms,apply_ms,relative_error,compressed_pair_fraction,stored_dense_matrix
0.3,raw_uniform_parameter,7.889201140637305,118.01091599045321,97.11487501044758,4.670003663718166e-15,0.7165354330708661,False
0.3,same_nodes_arclength,7.889201140637305,146.9058750080876,108.65966702112928,4.203003297346349e-15,0.7165354330708661,False
0.3,same_nodes_golden,7.889201140637305,147.2566669981461,109.98691600980237,7.472005861949067e-15,0.7165354330708661,False
0.3,uniform_arclength,1.0000000000000293,117.92554199928418,96.79129099822603,4.967579362179695e-15,0.7165354330708661,False
0.3,uniform_golden,1.2451248074400654,116.10824998933822,98.16466699703597,6.694492203696783e-15,0.7165354330708661,False
0.03,raw_uniform_parameter,96.28743503011319,117.38149999291636,96.07999998843297,7.839240467328781e-14,0.7165354330708661,False
0.03,same_nodes_arclength,96.28743503011319,138.48683299147524,109.62500001187436,3.1144269298496125e-13,0.6062992125984252,False
0.03,same_nodes_golden,96.28743503011319,137.0979169732891,110.74324999935925,7.778471161377891e-14,0.6062992125984252,False
0.03,uniform_arclength,1.0000000000000293,117.40862499573268,97.55270800087601,4.967579362179695e-15,0.7165354330708661,False
0.03,uniform_golden,1.2451248074400654,116.39458400895819,98.37383299600333,6.694492203696783e-15,0.7165354330708661,False
0.003,raw_uniform_parameter,962.5485987364356,117.51904099946842,96.54095899895765,3.1078647113711977e-13,0.7165354330708661,False
0.003,same_nodes_arclength,962.5485987364356,126.6942500078585,106.80616600438952,1.2420846624519132e-12,0.5984251968503937,False
0.003,same_nodes_golden,962.5485987364356,124.65629199869,104.96887500630692,1.2419330593039384e-12,0.5984251968503937,False
0.003,uniform_arclength,1.0000000000000293,116.4157500024885,95.47683299751952,4.967579362179695e-15,0.7165354330708661,False
0.003,uniform_golden,1.2451248074400654,115.80287499236874,96.35716601042077,6.694492203696783e-15,0.7165354330708661,False
