order,measured_relative_error,golden_geometric_factor
8,6.979097603734758e-05,9.644875678449716e-06
12,2.1674425222365962e-07,2.9953318950548347e-08
16,6.731253346766102e-10,9.302362685275086e-11
20,2.0905732105540163e-12,2.888960374349907e-13
24,6.625774117278795e-15,8.972013161532786e-16
28,6.484962022747824e-16,2.7863663650572404e-18
32,5.774395451275186e-16,8.653395152839832e-21
