shape,inverse_error,distance_relative_error,strip_relative_error,maximum_disk_fraction,center_residual
cylinder,4.965068306494546e-16,2.2169387828165607e-16,4.4338775656331213e-16,0.410364677328798,2.57074828832357e-17
cone,4.1748851477261605e-16,0.0,4.433915371241176e-16,0.4609772228646443,9.543472707442106e-18
sphere_cap,5.23691153334427e-16,2.218983010707241e-16,2.2191255340878756e-16,0.3008266721940219,2.57074828832357e-17
corrugated,5.4672143489065705e-16,2.2169328352010228e-16,4.43701751135682e-16,0.3735448305307379,2.57074828832357e-17
double_neck,4.577566798522237e-16,0.0,4.434389937355162e-16,0.4757678635983782,2.57074828832357e-17
cusp_right_chart,3.510833468576701e-16,0.0,4.4385630981413446e-16,0.37528919256975435,2.3858193208496187e-17
airfoil_body,3.8315011419927443e-16,0.0,2.2180770517088506e-16,0.45950181978470434,2.57074828832357e-17
