shape,raw_error_power_in_h,order1_power_in_h,order2_power_in_h,finest_h,finest_bgk_shift,finest_raw_rel_error,finest_order1_rel_error,finest_order2_rel_error,finest_order4_rel_error,finest_order8_rel_error
circle,0.49994082130324896,0.999885611570988,1.4999458836668493,1.4901161193847656e-08,7.11178171312269e-05,0.001700625569780076,6.06667051438821e-08,2.0917512760088633e-12,1.3454248766022276e-15,1.3454248766022276e-15
golden_ellipse,0.4999380188200446,0.9998616302654381,1.5082922177596292,1.4901161193847656e-08,7.11178171312269e-05,8.176074525773988e-05,3.05491672569196e-09,1.2296995929582442e-13,4.711933019746543e-15,4.711933019746543e-15
three_petal_laurent,0.4999128338304955,0.9997571709702052,1.4994826455152093,1.4901161193847656e-08,7.11178171312269e-05,0.0009975745524827368,5.24273920836801e-08,3.840138030073211e-12,2.6072712134347702e-15,2.6072712134347702e-15
perturbed_ellipse,0.4999231890876725,0.9997814114884639,1.4996227375948168,1.4901161193847656e-08,7.11178171312269e-05,0.0005878464519752988,2.722322088788512e-08,1.7942313561776044e-12,4.2608201286573366e-16,4.2608201286573366e-16
