shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_beta,bgk_shift,correction_order,reference_value,raw_discrete_value,corrected_value,rel_error
circle,identity exterior map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,0,-0.28881438523727193,-0.27311446379721227,-0.27311446379721227,0.054359901177226964
circle,identity exterior map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,1,-0.28881438523727193,-0.27311446379721227,-0.28879648166272215,6.198989892790124e-05
circle,identity exterior map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,2,-0.28881438523727193,-0.27311446379721227,-0.28881436542838834,6.858690079691168e-08
circle,identity exterior map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,4,-0.28881438523727193,-0.27311446379721227,-0.2888143852374572,6.415754625854622e-13
circle,identity exterior map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,8,-0.28881438523727193,-0.27311446379721227,-0.2888143852372721,5.766106614009546e-16
circle,identity exterior map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,16,-0.28881438523727193,-0.27311446379721227,-0.2888143852372721,5.766106614009546e-16
circle,identity exterior map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,0,-0.28881438523727193,-0.280959946148006,-0.280959946148006,0.027195456634935965
circle,identity exterior map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,1,-0.28881438523727193,-0.280959946148006,-0.2888099043929565,1.5514616114924813e-05
circle,identity exterior map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,2,-0.28881438523727193,-0.280959946148006,-0.28881438276271615,8.567979674809895e-09
circle,identity exterior map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,4,-0.28881438523727193,-0.280959946148006,-0.28881438523727715,1.8067134057229912e-14
circle,identity exterior map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,8,-0.28881438523727193,-0.280959946148006,-0.28881438523727126,2.3064426456038186e-15
