radius,separation,reduced_kernel,inverse_square_channel,measured_log_coefficient,predicted_log_coefficient,coefficient_abs_error,dense_matrix_stored
1.0,0.2,50.54089564264638,49.99999999999999,0.24828559838813902,0.25,0.0017144016118609828,False
1.0,0.1,200.71842708626724,199.99999999999997,0.24952543136439514,0.25,0.00047456863560485507,False
1.0,0.05,800.8931507771703,799.9999999999999,0.24987336854628484,0.25,0.0001266314537151647,False
1.0,0.025,3201.066889045378,3199.9999999999995,0.2499668528207636,0.25,3.314717923638688e-05,False
