n,relative_split_first6,left_delta_prev_first6,right_delta_prev_first6,split_delta_prev,left_ritz_1,left_ritz_2,left_ritz_3,left_ritz_4,left_ritz_5,left_ritz_6,right_ritz_1,right_ritz_2,right_ritz_3,right_ritz_4,right_ritz_5,right_ritz_6
256,0.07418103542776132,,,,12.347247265443652,9.541285218189355,8.60051813331123,7.882560292657551,7.0918628610352465,6.568458499396039,11.416318447131097,10.828101560832154,8.349505267854914,7.971254184291083,7.088096820829068,6.47043864292006
512,0.073772483573657,0.0063586253889711866,0.006087585447778981,0.00040855185410432204,12.42072396358845,9.607645164432942,8.656229585481524,7.927568092644856,7.147072425161328,6.60574063578971,11.474881472585016,10.885889415509103,8.416306592219739,8.031631748905678,7.128455611148784,6.50554595848583
1024,0.07351270987896283,0.0031628629831037215,0.003071389088015938,0.0002597736946941681,12.456167329079173,9.640812840685376,8.68520167850394,7.949907864155421,7.174860039245402,6.624604631005807,11.505483195129248,10.914668828611719,8.450066611275902,8.061835070791075,7.148996207689738,6.522985897586111
2048,0.07336365005093635,0.0015528485792627488,0.001558846338773906,0.00014905982802647377,12.472749725211905,9.657152546340022,8.700025064250104,7.960903316306362,7.188767149862794,6.6340960791533305,11.521617120330522,10.929577975877729,8.467022259915337,8.07668406785357,7.159376243051852,6.531674094687872
4096,0.07328739847399048,0.0007851648374821689,0.0007797353753023485,7.625157694587936e-05,12.481230151458126,9.66541667632009,8.707538571309149,7.966427449619414,7.1957451775234365,6.638861840320418,11.529682005161758,10.936921193362968,8.4755427484673,8.084202988137209,7.164597075079061,6.536008014903839
