operation,fit_time_power,median_ms_n256,median_ms_n512,median_ms_n1024,median_ms_n2048,median_ms_n4096,max_generated_q_residual,dense_q_matrix_stored
q_bgk4,0.9969002059470127,1.8417290411889553,3.725750488229096,7.309562526643276,14.657020976301283,29.396395955700427,4.030188403610736e-09,False
pde_laplace_dtn,1.0267446729730278,0.4840835463255644,0.9351249318569899,1.9052919815294445,3.9798959624022245,8.238042006269097,3.619878158220882e-12,False
pde_heat,1.0470247172399654,0.4494375316426158,0.9077084832824767,1.8674585153348744,3.9142295718193054,8.151708054356277,5.954635734045134e-14,False
pde_helmholtz,1.050251363886366,0.44456246541813016,0.8996039978228509,1.8570204847492278,3.890708030667156,8.141978993080556,5.949982945127085e-14,False
pde_batch_all5,1.0467761650072795,2.2624186240136623,4.541832429822534,9.35291638597846,19.639228412415832,40.9431669395417,3.619878158220882e-12,False
