nodes,compile_ms,static_apply_ms,direct_ms,static_direct_relative_error,cartesian_reference_relative_error,channel_radius,fft_channels,tail_bound,constant_residual,dense_entries_avoided,stored_dense_matrix
32,4.440333999809809,1.2124579952796921,1.3741670118179172,1.5832734636816432e-15,1.0249798066897432e-15,19,39,6.666575426061752e-18,0.0,1024,False
64,8.879458997398615,2.4354170018341392,5.4972499929135665,3.99260248641853e-15,2.8296005343125136e-15,19,39,6.666575426061752e-18,0.0,4096,False
128,18.35499999288004,5.393957995693199,22.60029100580141,7.436516330585078e-15,4.017333860020493e-15,19,39,6.666575426061752e-18,0.0,16384,False
256,37.257457996020094,11.468124997918494,98.52316700562369,1.284629627728595e-14,1.1758542701645577e-14,19,39,6.666575426061752e-18,0.0,65536,False
512,78.75724999757949,25.552958002663217,381.20437499310356,3.348197625803865e-14,1.9934276395780768e-14,19,39,6.666575426061752e-18,0.0,262144,False
1024,165.07166699739173,53.18375000206288,1473.002083002939,6.823784231814434e-14,4.003178109352934e-14,19,39,6.666575426061752e-18,0.0,1048576,False
2048,320.2952919964446,114.18891600624193,0.0,0.0,0.0,19,39,6.666575426061752e-18,0.0,4194304,False
4096,658.1751250050729,244.52741700224578,0.0,0.0,0.0,19,39,6.666575426061752e-18,0.0,16777216,False
