kernel_power,normalization,n_scale,n_theta,nodes,compile_ms,static_apply_ms,direct_ms,relative_error,channel_radius,modulation_channels,tail_bound,constant_residual,dense_entries_avoided,stored_dense_matrix
2.0,1.0,2,8,16,8.51141699240543,8.074415993178263,0.08670800889376551,5.106935465484762e-16,16,289,5.293737083519662e-16,0.0,256,False
2.0,1.0,4,16,64,30.101083000772633,28.805541995097883,1.091166996047832,2.3788250169259804e-15,17,324,3.9369907068696126e-16,0.0,4096,False
2.0,1.0,8,32,256,100.24716600310057,99.36425001069438,19.807457996648736,5.0217477224270564e-15,17,324,9.836241304373461e-16,0.0,65536,False
3.0,0.15915494309189535,2,8,16,9.367207996547222,9.282290993724018,0.08779201016295701,3.947713788934562e-15,17,324,3.3044892175881245e-16,0.0,256,False
3.0,0.15915494309189535,4,16,64,35.06687500339467,33.33237499464303,1.2957080034539104,5.804620955440178e-15,18,361,2.808267592462201e-16,0.0,4096,False
3.0,0.15915494309189535,8,32,256,117.71975000738166,112.96795899397694,18.125000002328306,1.423350265914418e-14,18,361,7.406561439752132e-16,0.0,65536,False
