step,value,next_term_estimate,channel_count,grid_refinement_iterations,stored_dense_matrix
0.08,-0.3610216367572003,1.4489206064345041e-25,3,0,False
0.04,-0.2537432165234604,1.0146044996379156e-25,3,0,False
0.02,-0.1784790533171672,7.114568634569099e-26,3,0,False
0.01,-0.12561890811885523,4.9942982247527815e-26,3,0,False
