shape,mu,axis_a,axis_b,eccentricity,quotient_ratio,channel_radius,fft_channels,tail_bound,compile_ms,static_apply_ms,direct_ms,relative_error,cartesian_reference_relative_error,stored_dense_matrix
nearly_circular,2.0,7.524391382167264,7.253720815694039,0.26580222883407967,0.018315638888734175,9,19,1.58579350033389e-19,10.061541004688479,2.6815420133061707,22.902166994754225,7.606884751023458e-15,4.471470317983899e-15,False
golden,0.9624236501192069,3.0000000000000004,2.2360679774997902,0.6666666666666665,0.14589803375031546,19,39,6.666575426061752e-18,18.633750005392358,5.409292003605515,22.757875005481765,7.436516330585078e-15,4.017333860020493e-15,False
moderately_slender,0.55,2.310202828247882,1.1563032074869086,0.865724851318294,0.3328710836980795,33,67,6.419257033910991e-17,29.72862499882467,8.732667003641836,22.166916998685338,7.199595168299191e-15,5.24650074651965e-15,False
near_cusp_but_regular,0.3,2.090677028257721,0.609040586894285,0.9566279119002483,0.5488116360940264,62,125,1.3347732866163744e-16,53.432916989549994,16.93841601081658,22.64741600083653,6.942897422154376e-15,7.42578482369543e-15,False
