nodes,tolerance,admissibility,compile_ms,apply_ms,relative_error,exact_pair_fraction,low_rank_pair_fraction,maximum_rank
384,1e-09,0.3,462.09499999531545,74.95533398468979,1.2235375315790077e-13,0.8514492753623188,0.06521739130434782,27
384,1e-10,0.3,465.8524169935845,73.89433300704695,1.037998685818927e-14,0.8514492753623188,0.06521739130434782,31
384,1e-10,0.6,1141.6874169954099,72.95779199921526,2.3622993065681463e-14,0.7862318840579711,0.13043478260869565,45
384,1e-12,0.6,1619.305041996995,76.46016700891778,3.238443480667846e-16,0.9166666666666666,0.0,0
384,2e-13,0.6,1627.051166986348,75.04399999743327,3.238443480667846e-16,0.9166666666666666,0.0,0
384,1e-10,0.9,2200.9122080053203,72.20554101513699,2.3622993065681463e-14,0.7862318840579711,0.13043478260869565,45
