family,shape,kernel_power,nodes,compile_ms,apply_ms,reference_ms,relative_error,constant_residual,low_rank_blocks,maximum_rank,exact_pair_fraction,compile_kernel_samples,hard_no_quadratic_contract,quadratic_fallback,stored_dense_matrix
curved_conic_production_wspd,circular_cylinder,2.0,192,2130.0456669996493,1554.4134590018075,12.053457990987226,6.422762922216172e-16,0.0,464,969,0.5130890052356021,0,True,False,False
curved_conic_production_wspd,circular_cylinder,3.0,192,1867.4361660087015,1432.893665973097,12.667250004597008,1.1977933302821628e-15,0.0,400,969,0.6269633507853403,0,True,False,False
curved_conic_production_wspd,elliptic_taper,2.0,192,2051.8952919810545,1514.3959579872899,12.762375001329929,8.035295535383874e-16,0.0,484,969,0.5042539267015707,0,True,False,False
curved_conic_production_wspd,elliptic_taper,3.0,192,1937.5783750147093,1479.8613749735523,12.906666001072153,2.053518841371531e-15,0.0,448,969,0.5759162303664922,0,True,False,False
curved_conic_production_wspd,bent_tube,2.0,192,2021.880084008444,1522.3153329861816,13.250832998892292,5.532075081608215e-16,0.0,480,969,0.4419175392670157,0,True,False,False
curved_conic_production_wspd,bent_tube,3.0,192,2020.4237090074457,1491.4912079984788,12.585584016051143,1.314089905783419e-15,0.0,497,969,0.4993455497382199,0,True,False,False
curved_conic_production_wspd,twisted_ellipse,2.0,192,2189.602750004269,1618.5485419991892,13.063874997897074,5.891464789294226e-16,0.0,554,969,0.4708769633507853,0,True,False,False
curved_conic_production_wspd,twisted_ellipse,3.0,192,2108.5463750059716,1566.3027499977034,12.966542009962723,1.6421713840971558e-15,0.0,578,969,0.5356675392670157,0,True,False,False
curved_conic_production_wspd,toroidal_bundle,2.0,192,2116.323290974833,1575.0268340052571,12.432125018676743,1.7730093385003471e-15,0.0,536,969,0.1331806282722513,0,True,False,False
curved_conic_production_wspd,toroidal_bundle,3.0,192,2257.4235419742763,1682.6975840085652,12.393458018777892,5.277120691191391e-15,0.0,592,969,0.15723167539267016,0,True,False,False
curved_conic_production_wspd,smooth_aircraft_body,2.0,192,1913.4028329863213,1460.401084012119,13.015625008847564,7.866968819940576e-16,0.0,494,969,0.42032068062827227,0,True,False,False
curved_conic_production_wspd,smooth_aircraft_body,3.0,192,1826.5752919833176,1408.4297910158057,12.548333004815504,3.60878121425932e-15,0.0,489,969,0.4895287958115183,0,True,False,False
