nodes,compile_ms,apply_ms,reference_ms
128,1.0398339945822954,3.5759590100497007,5.197167018195614
256,5.742000008467585,11.904916987987235,21.745042002294213
512,38.99454101338051,37.083375005749986,87.98058400861919
1024,123.90549998963252,95.5385830020532,362.16037499252707
2048,314.1567909915466,223.7746659957338,
4096,725.2569999836851,490.761916997144,
