n,joukowski_integral_abs_error,arclength_integral_abs_error,joukowski_q_energy_rel_error,arclength_q_energy_rel_error,joukowski_ms,arclength_ms
128,0.00067178703232873,0.00835486303735511,0.06541855765474293,0.7128689250054158,0.8283750503323972,3.2911250018514693
256,0.00016590335269617285,0.003003993565980023,0.037663066815503,0.6654918444200163,1.429708965588361,3.95220797508955
512,4.135492709544941e-05,0.0008380069229094733,0.021510956534451845,0.6332090915712747,2.5651250034570694,4.841167014092207
1024,1.0331163653454212e-05,0.00021565152911318108,0.011354941909432504,0.6117406822471286,5.062541051302105,7.780040963552892
2048,2.5822086167082148e-06,5.430981187837247e-05,0.004618122810149298,0.5975481607953169,10.650042037013918,13.548750022891909
