shape,family,problem,n,mode,continuum_rel_error,generated_rel_error,amplitude_real,amplitude_imag,exact_amplitude_real,exact_amplitude_imag,generated_amplitude_real,generated_amplitude_imag,build_ms,solve_ms,work_units,protocol,dense_q_matrix_stored
circle,baseline,laplace_dtn,2048,7,0.0034179687500042995,5.756945445658266e-13,6.97607421874997,-4.158735860329431e-15,7.0,0.0,6.97607421875,0.0,12.260499992407858,4.1157499654218554,2048,borrow_compute_repay_pullback,False
circle,baseline,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,12.260499992407858,3.9841249817982316,2048,borrow_compute_repay_pullback,False
circle,baseline,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,12.260499992407858,3.8856660248711705,2048,borrow_compute_repay_pullback,False
circle,baseline,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,12.260499992407858,3.9709170814603567,2048,borrow_compute_repay_pullback,False
circle,baseline,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,12.260499992407858,3.9689159020781517,2048,borrow_compute_repay_pullback,False
golden_ellipse,closed_form_conic,laplace_dtn,2048,7,0.003417968750004291,5.758815552618889e-13,6.97607421874997,-4.1587358603294324e-15,7.0,0.0,6.97607421875,0.0,22.3675420274958,3.994332975707948,2048,borrow_compute_repay_pullback,False
golden_ellipse,closed_form_conic,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,22.3675420274958,3.977749962359667,2048,borrow_compute_repay_pullback,False
golden_ellipse,closed_form_conic,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,22.3675420274958,3.9640830364078283,2048,borrow_compute_repay_pullback,False
golden_ellipse,closed_form_conic,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,22.3675420274958,3.961666952818632,2048,borrow_compute_repay_pullback,False
golden_ellipse,closed_form_conic,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,22.3675420274958,4.025583039037883,2048,borrow_compute_repay_pullback,False
eccentric_ellipse,closed_form_conic,laplace_dtn,2048,7,0.003417968750004228,5.755085751359921e-13,6.97607421874997,-4.158735860329431e-15,7.0,0.0,6.97607421875,0.0,23.784000077284873,4.065582994371653,2048,borrow_compute_repay_pullback,False
eccentric_ellipse,closed_form_conic,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,23.784000077284873,3.9417080115526915,2048,borrow_compute_repay_pullback,False
eccentric_ellipse,closed_form_conic,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,23.784000077284873,3.8988329470157623,2048,borrow_compute_repay_pullback,False
eccentric_ellipse,closed_form_conic,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,23.784000077284873,3.9514160016551614,2048,borrow_compute_repay_pullback,False
eccentric_ellipse,closed_form_conic,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,23.784000077284873,3.947500023059547,2048,borrow_compute_repay_pullback,False
three_petal,smooth_nonconvex,laplace_dtn,2048,7,0.0034179687500041937,5.759220718377654e-13,6.97607421874997,-4.158735860329432e-15,7.0,0.0,6.97607421875,0.0,26.595041970722377,4.058875027112663,2048,borrow_compute_repay_pullback,False
three_petal,smooth_nonconvex,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,26.595041970722377,3.9523750310763717,2048,borrow_compute_repay_pullback,False
three_petal,smooth_nonconvex,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,26.595041970722377,3.936125081963837,2048,borrow_compute_repay_pullback,False
three_petal,smooth_nonconvex,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,26.595041970722377,3.942833049222827,2048,borrow_compute_repay_pullback,False
three_petal,smooth_nonconvex,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,26.595041970722377,3.9476669626310468,2048,borrow_compute_repay_pullback,False
