n,transform_strategy,construct_and_first_apply_ms,generated_apply_ms,streamed_direct_ms,relative_l2_error_vs_streamed_direct,relative_l2_first_apply_consistency,adaptive_rank
150,mixed_radix,4.7879999910946935,2.583208988653496,2.6350000116508454,1.8997087593990497e-14,0.0,0
151,bluestein,5.097916000522673,4.136625007959083,2.7021249989047647,1.4994531185809172e-13,0.0,0
300,mixed_radix,8.180125005310401,5.323708988726139,10.786917002405971,3.876722753614238e-14,0.0,0
600,mixed_radix,16.87625001068227,11.93225002498366,43.39812498074025,8.009118752075939e-14,0.0,0
