n,construct_and_first_apply_ms,generated_apply_ms,three_jet_contraction_ms,streamed_direct_ms,relative_l2_error_vs_streamed_direct,relative_l2_contraction_consistency,relative_l2_first_apply_consistency,constant_null_residual,direct_over_generated_speedup,persistent_complex_entries,adaptive_rank
32,0.5029590101912618,0.25083398213610053,0.11962497956119478,0.12362501001916826,2.62629475467761e-15,4.238533558929249e-16,0.0,0.0,0.4928559079849488,128,0
64,0.9524589986540377,0.5514590011443943,0.2557080006226897,0.49679199582897127,6.0516825957863784e-15,2.6489998413347823e-16,0.0,0.0,0.9008684141486903,256,0
128,1.716792001388967,1.016333990264684,0.465832999907434,1.987833995372057,1.1718228843275814e-14,4.570090787645559e-16,0.0,0.0,1.9558865632884768,512,0
256,3.491958021186292,1.957041007699445,0.9507079957984388,7.790457981172949,2.2346627847999373e-14,7.107047545078831e-16,0.0,0.0,3.980733132583075,1024,0
512,7.3998750012833625,4.171167005551979,1.860875025158748,32.240625005215406,5.257091585819006e-14,8.17930988687569e-16,0.0,0.0,7.729401618851974,2048,0
1024,14.982291002525017,8.785082987742499,3.632000007200986,127.71933298790827,1.1030621931094216e-13,2.1909791843648006e-15,0.0,0.0,14.538204495746976,4096,0
2048,30.356708011822775,18.220083002233878,7.489000010536984,,,4.6625362833582354e-15,0.0,0.0,,8192,0
4096,61.468208994483575,37.47687500435859,14.967458002502099,,,3.277884518430254e-15,0.0,0.0,,16384,0
