shape,kernel_power,nodes,compile_ms,first_apply_ms,warm_apply_ms,direct_ms,tree_ms,atlas_relative_error,first_warm_residual,tree_relative_error,constant_residual,phase_fft_charts,phase_direct_charts,phase_channels,low_rank_blocks,total_rank,maximum_rank,exact_cross_pair_fraction,low_rank_pair_fraction,phase_chart_pair_fraction,compile_kernel_samples,stored_factor_entries,stored_phase_channel_entries,cross_pair_partition_residual,stored_dense_matrix
circular_cylinder,2.0,192,8.853000006638467,11.057665979024023,10.706917004426941,7.729375007329509,17.9305000056047,5.96555907845713e-16,0.0,0.0006507321572554516,0.0,11,0,11,0,0,0,0.8333333333333334,0.0,0.16666666666666666,5632,0,528,0,False
circular_cylinder,3.0,192,9.053207992110401,9.683874988695607,9.716332977404818,7.965124998008832,17.60900000226684,7.770603482319678e-16,0.0,0.0013436438259224995,0.0,11,0,11,0,0,0,0.8333333333333334,0.0,0.16666666666666666,5632,0,528,0,False
elliptic_taper,2.0,192,7.088915997883305,65.28974999673665,20.192625001072884,7.834582997020334,15.96066600177437,4.738167756584977e-16,0.0,0.0007828105593954282,0.0,0,11,0,0,0,0,0.8333333333333334,0.0,0.16666666666666666,2816,0,0,0,False
elliptic_taper,3.0,192,6.77120900945738,10.511875007068738,10.16637499560602,8.025707997148857,15.863249980611727,4.853220593238591e-16,0.0,0.0009754483975774429,0.0,0,11,0,0,0,0,0.8333333333333334,0.0,0.16666666666666666,2816,0,0,0,False
bent_tube,2.0,192,43.71587498462759,61.24725000699982,19.60083399899304,7.778041996061802,13.737458997638896,5.190140176201221e-16,0.0,0.001045635259756386,0.0,0,11,0,0,0,0,0.8333333333333334,0.0,0.16666666666666666,11776,0,0,0,False
bent_tube,3.0,192,42.264249990694225,10.521334013901651,10.37837500916794,7.721000001765788,14.144959015538916,4.22135722099562e-16,0.0,0.001156565793257307,0.0,0,11,0,0,0,0,0.8333333333333334,0.0,0.16666666666666666,11776,0,0,0,False
twisted_ellipse,2.0,192,6.822416995419189,104.24766698270105,28.433957981178537,7.900124997831881,15.941749996272847,4.857692880157113e-16,0.0,0.0008364519587320618,0.0,0,11,0,0,0,0,0.8333333333333334,0.0,0.16666666666666666,2816,0,0,0,False
twisted_ellipse,3.0,192,6.896082981256768,10.982624982716516,10.385583998868242,7.9004169965628535,16.166958987014368,4.1935489483357737e-16,0.0,0.0011461996850717217,0.0,0,11,0,0,0,0,0.8333333333333334,0.0,0.16666666666666666,2816,0,0,0,False
toroidal_bundle,2.0,192,106.76466702716425,67.98683298984542,21.574792015599087,7.880292017944157,11.80095798918046,7.778741479845777e-14,0.0,0.0014057514611212003,0.0,0,12,0,4,28,7,0.7575757575757576,0.06060606060606061,0.18181818181818182,35584,896,0,0,False
toroidal_bundle,3.0,192,105.34512498998083,10.191291978117079,10.017624997999519,7.522291998611763,11.659792013233528,3.69793122489086e-14,0.0,0.002332719640604139,0.0,0,12,0,4,28,7,0.7575757575757576,0.06060606060606061,0.18181818181818182,35584,896,0,0,False
aircraft_body,2.0,192,18.404041999019682,84.51741700991988,24.95941601227969,7.887749990914017,14.173125004163012,1.7790868517304868e-15,0.0,0.0010364414067947855,0.0,0,11,0,1,11,11,0.7878787878787878,0.045454545454545456,0.16666666666666666,6144,704,0,0,False
aircraft_body,3.0,192,20.75241701095365,10.469875007402152,10.600332985632122,7.972708001034334,14.474416995653883,1.0797637513255724e-15,0.0,0.0011536222323110061,0.0,0,11,0,1,11,11,0.7878787878787878,0.045454545454545456,0.16666666666666666,6144,704,0,0,False
