n_slices,n_theta,nodes,compile_ms,warm_apply_ms,direct_ms,relative_error,low_rank_blocks,total_rank,low_rank_pair_fraction,exact_cross_pair_fraction,compile_kernel_samples,stored_factor_entries,dense_entries_avoided,stored_dense_matrix
8,16,128,43.3516250050161,15.963499987265095,3.8289999938569963,1.2270076683095198e-15,0,0,0.0,0.75,12544,0,16384,False
16,16,256,278.4369590226561,42.21337498165667,13.966374972369522,7.277710263565638e-16,0,0,0.0,0.875,48896,0,65536,False
32,16,512,1068.078708020039,122.69258400192484,51.86166599742137,5.783506711034337e-15,1,36,0.06451612903225806,0.8729838709677419,149424,6912,262144,False
64,16,1024,3031.6933750000317,378.6940419813618,204.007874999661,2.0710965775219917e-14,5,202,0.19047619047619047,0.7782738095238095,209827,56576,1048576,False
