shape,n,compile_ms,hierarchy_apply_ms,streamed_direct_ms,direct_over_hierarchy_speedup,relative_l2_error,actual_inf_error,certified_compression_inf_bound,constant_residual,low_rank_pair_fraction,exact_pair_fraction,maximum_rank,stored_factor_entries,analytic_apply_units,analytic_apply_budget,analytic_blocks,near_field_pairs,near_field_pair_budget,hard_no_quadratic_contract,quadratic_fallback,dense_matrix_stored
sphere,96,579.3785830028355,476.077625004109,3.5995419893879443,0.007560829999849031,5.214759404142121e-16,7.993906938898084e-15,1.5066402529124006e-14,0.0,0.26842105263157895,0.7315789473684211,816,61047,382884,62512128,120,3336,221184,True,False,False
ellipsoid,96,669.1727500001434,529.9137080146465,3.0747500131838024,0.00580235983081762,1.0196602005540705e-15,1.1990571295174671e-14,5.08344164460217e-14,0.0,0.30986842105263157,0.6901315789473684,969,61047,618588,62512128,131,3147,221184,True,False,False
torus,96,755.1430829917081,607.4589999916498,3.1057079904712737,0.005112621576952462,1.1837237631365377e-15,1.9539969587077654e-14,1.0468768304454687e-13,0.0,0.4026315789473684,0.5973684210526315,969,61047,852813,62512128,149,2724,221184,True,False,False
folded_sheet,96,768.6167919891886,595.6559580226894,3.2180420239456,0.00540251798139996,8.689446240007251e-16,4.108534256742297e-15,5.3926609073185045e-14,0.0,0.4618421052631579,0.5381578947368421,969,61047,859077,62512128,113,2454,221184,True,False,False
mobius,96,822.5248750241008,643.438041995978,3.398041008040309,0.005281069483394875,1.6071753226588526e-15,6.217248937900877e-15,7.887665591897965e-14,0.0,0.8210526315789474,0.17894736842105263,969,61047,957645,62512128,128,816,221184,True,False,False
star_surface,96,535.9337079862598,461.84841700596735,3.397916996618733,0.007357212608081387,7.766796638148539e-16,8.881808591516633e-15,3.108954748061587e-15,0.0,0.09473684210526316,0.9052631578947369,969,61047,225216,62512128,32,4128,221184,True,False,False
spherical_spiral,256,2330.030750017613,1739.9921670148615,21.402625017799437,0.012300414578600016,4.823977744688999e-15,5.862106358682319e-14,1.50433570196025e-12,0.0,0.9269607843137255,0.07303921568627451,969,123063,3879844,214327296,289,2384,688128,True,False,False
