shape,n,compile_ms,hierarchy_apply_ms,streamed_direct_ms,direct_over_hierarchy_speedup,relative_l2_error,actual_inf_error,certified_compression_inf_bound,constant_residual,low_rank_pair_fraction,exact_pair_fraction,maximum_rank,stored_factor_entries,analytic_apply_units,analytic_apply_budget,analytic_blocks,near_field_pairs,near_field_pair_budget,hard_no_quadratic_contract,quadratic_fallback,dense_matrix_stored
sphere,48,255.2759579848498,204.18387500103563,0.8097499958239496,0.0039657881692168025,3.092076705044259e-16,3.553689326789271e-15,0.0,0.0,0.0,1.0,1,30039,0,26790912,0,1128,92160,True,False,False
sphere,96,594.8218749836087,487.757041992154,3.1305410084314644,0.006418238464882732,5.214759404142121e-16,7.993906938898084e-15,1.5066402529124006e-14,0.0,0.26842105263157895,0.7315789473684211,816,61047,382884,62512128,120,3336,221184,True,False,False
sphere,192,1937.2108330135234,1498.0894589971285,12.540374998934567,0.008370911979668768,1.0007233837933923e-15,1.1552856178884551e-14,1.269320080565877e-13,0.0,0.44175392670157065,0.5582460732984293,969,123063,3255024,142884864,612,10236,516096,True,False,False
sphere,384,8779.903665999882,6074.4548340153415,50.325792020885274,0.008284824465081893,8.797912761534558e-16,1.510184542098812e-14,1.488331274987545e-13,0.0,0.75,0.25,969,247095,19317156,321490944,2942,18384,1179648,True,False,False
