n_scale,compile_ms,nested_apply_ms,direct_apply_ms,relative_error,compressed_blocks,exact_blocks,compressed_pair_fraction,cluster_records,stored_block_records,stored_factor_entries,stored_interaction_matrices,stored_dense_matrix
64,26.545875007286668,7.149584009312093,5.001999990781769,6.512811219721892e-16,11,21,0.47619047619047616,15,32,0,11,False
128,84.93708301102743,17.350500012980774,20.182375010335818,7.734830899183761e-16,36,45,0.7165354330708661,31,81,0,36,False
256,224.94458401342854,38.928083027713,81.0375830042176,9.391760269165497e-16,93,93,0.8529411764705882,63,186,0,93,False
512,500.7584170089103,83.22070800932124,324.2262919957284,2.3174102760727154e-15,215,189,0.925146771037182,127,404,0,215,False
1024,1084.5465830061585,172.68504199455492,,,466,381,0.9622434017595308,255,847,0,466,False
