shape,n_nodes,compile_ms,nested_ms,direct_ms,relative_error,constant_residual,compressed_pair_fraction,stored_dense_matrix
cylinder,304,7.535959011875093,19.07329200184904,77.23158298176713,1.8298542034697258e-15,0.0,0.11695906432748537,False
cone,304,7.681584014790133,18.974665988935158,76.67358301114291,1.9359745504859475e-15,0.0,0.11695906432748537,False
sphere_cap,304,7.622292003361508,18.955583014758304,77.34329099184833,2.0034461528912933e-15,0.0,0.11695906432748537,False
corrugated,304,8.293457998661324,19.189916987670586,76.827749988297,1.9778512197326438e-15,0.0,0.11695906432748537,False
double_neck,304,7.862875005230308,19.191166007658467,77.45275000343099,1.7814242052559042e-15,0.0,0.11695906432748537,False
cusp_meridian,304,7.537915982538834,19.204124982934445,77.59754097787663,1.3341000094055238e-15,0.0,0.11695906432748537,False
airfoil_body,304,7.598458003485575,19.24449999933131,76.92550000501797,1.3940678673071357e-15,0.0,0.11695906432748537,False
