n_scale,n_theta,n_nodes,compile_ms,nested_ms,direct_ms,relative_error,constant_residual,compressed_pair_fraction,stored_mode_tile_entries,stored_dense_matrix
16,8,128,1.2207500112708658,3.5638750123325735,14.791333000175655,1.0958481115771765e-15,0.0,0.0,0,False
32,8,256,5.97716702031903,11.571417009690776,54.68683401704766,2.3230480249594014e-15,0.0,0.12903225806451613,5120,False
64,8,512,36.179125017952174,36.82354200282134,221.95199999259785,5.803078247685881e-15,0.0,0.47619047619047616,51200,False
128,8,1024,120.79908300074749,95.77233300660737,895.7038749940693,1.1525527538530896e-14,0.0,0.7165354330708661,179200,False
256,8,2048,300.8977920108009,225.69520899560302,,,0.0,0.8529411764705882,471040,False
512,8,4096,694.597583002178,493.9868329965975,,,0.0,0.925146771037182,1090560,False
