shape,family,lambda_1,lambda_2,lambda_3,lambda_4,lambda_8,lambda_12,largest_ritz,high_4,high_12,condition_proxy,speed_anisotropy,fast_apply_work_units,pairwise_apply_work_units,estimated_pairwise_over_fast,uses_radix2_fft,low_elapsed_ms,high_elapsed_ms,low_lanczos_steps,high_lanczos_steps
circle,smooth normal form,127.50000000000097,127.5000000000022,254.00000000000358,254.00000000000398,504.0000000000061,750.0000000000093,8191.7270857812355,8178.635826537274,8048.640427405454,64.2488398884798,1.0,5632,32640,5.795454545454546,True,3847.8347079944797,3833.4209580207244,124,124
golden_ellipse,smooth conic,167.22982776326424,167.67095020897634,328.4590126239135,331.6955240710862,651.5680012440721,967.2783220941893,14573.777975763898,14374.03047042927,13611.330131187982,87.14819700941744,1.3415150828720037,5632,32640,5.795454545454546,True,3590.497499972116,3771.5906249941327,124,124
rounded_square,smooth high-curvature,227.08737664737788,327.0222830909678,403.83933893298513,421.1298533282148,599.5901374745786,871.8438161870404,31766.274020263667,31766.274019918088,29057.366093266224,139.88568844841805,10.364404783763561,5632,32640,5.795454545454546,True,2845.695833035279,2886.881749960594,124,124
flower_nonconvex,smooth nonconvex,146.59227134579862,146.89125169238437,288.25508103165345,288.93869189742594,561.952012250138,823.9595882419674,22333.99035897245,19086.11578565125,15707.006769954347,152.35448740874256,2.206087831859071,5632,32640,5.795454545454546,True,3834.434083022643,3798.184917017352,124,124
cardioid_one_cusp,cusp,301.4179044725459,355.0488942220843,467.32834719212786,621.767337595334,1236.5305909499875,1788.8176963702065,63898453.37271094,6362873.098877461,669291.3614628833,211992.89234170565,162.92354319242236,5632,32640,5.795454545454546,True,3150.855209038127,3314.720374997705,124,124
nephroid_two_cusps,multi-cusp,305.3945591015311,415.62019224906163,441.438343041873,648.3326423758255,1055.1783010341487,1497.661329821045,12628389.443750076,4645487.109670774,557453.5577578861,41351.062313954506,81.43963105749864,5632,32640,5.795454545454546,True,3212.920459045563,3204.1229580063373,124,124
astroid_four_cusps,multi-cusp,440.71497274619765,550.3562353935495,741.4819977782038,779.1726465812426,1195.52968745851,1668.9855574286921,3163953.4953713273,3163952.8398208157,641551.9628414904,7179.137744415617,40.730031910449355,5632,32640,5.795454545454546,True,3095.8373330067843,3164.880500000436,124,124
joukowski_airfoil,Joukowski cusp,539.7307082189624,680.9141196025258,839.2434584914961,919.0423260969833,1997.0175784551234,3035.9827794397465,21208016.13896792,2115904.2950911536,284155.16027214244,39293.69927635112,73.08959497905416,5632,32640,5.795454545454546,True,3274.0007920074277,3334.139959013555,124,124
square_polygon,polygonal corners,159.31698449009585,159.31698449009625,317.3192463529657,317.3612214311849,629.5676674988404,936.6978772140071,12641.127395557802,12640.871229890052,10024.177481843417,79.34576113159896,1.4142135623730987,5632,32640,5.795454545454546,True,3748.8040829775855,4015.435458975844,124,124
star_polygon,re-entrant polygon,108.74843578407307,108.7503975440687,216.28465335333664,216.2926837933008,427.85404361571125,635.0278086910204,15554.150043892045,13497.942415421054,7381.11359248331,143.02872433747734,2.855183739865513,5632,32640,5.795454545454546,True,3672.492250043433,3847.1937919966877,124,124
double_concave_stealth,concave polygon,260.6723852282638,260.6929112368388,518.2557391239924,518.3588588628676,1025.709291330172,1523.5891957352494,67037.09324983496,18747.00128346016,16199.639214011513,257.1699077028523,5.050000000000059,5632,32640,5.795454545454546,True,3827.2699170047417,3765.2849999722093,124,124
rational_asymptote_chart,open rational chart,1248.683919733614,1248.7068445344833,2487.536509349643,2487.623246567382,4936.0101637476,7345.162029920277,80677.54444395652,80409.0377134915,79013.34015520493,64.6100611763846,1.016921378386834,5632,32640,5.795454545454546,True,3996.328875015024,4084.142707986757,124,124
