n,cycle_dtn_zeta_sum_s_half,bulk_integral,bulk_plus_bgk_endpoint,raw_endpoint_residual,bgk_corrected_residual,half_residual_zeta_estimate
64.0,22.20877934280333,25.132741228718345,22.21203221109917,-2.9239618859150163,-0.0032528682958421484,-1.4619809429575081
128.0,32.620729212442406,35.54306350526693,32.622354487647755,-2.922334292824523,-0.0016252752053489417,-1.4611671464122615
256.0,47.34396109291406,50.26548245743669,47.344773439817516,-2.921521364522633,-0.0008123469034586606,-1.4607606822613164
512.0,68.16501189225748,71.08612701053386,68.16541799291468,-2.9211151182763757,-0.0004061006572015913,-1.4605575591381879
1024.0,97.61005286513915,100.53096491487338,97.6102558972542,-2.920912049734227,-0.0002030321150527925,-1.4604560248671135
2048.0,139.25144349194628,142.17225402106772,139.25154500344854,-2.9208105291214395,-0.000101511502265339,-1.4604052645607197
4096.0,198.1411700575155,201.06192982974676,198.14122081212759,-2.920759772231264,-5.0754612090031515e-05,-1.460379886115632
8192.0,281.423773647495,284.34450804213543,281.42379902451626,-2.9207343946404194,-2.537702124527641e-05,-1.4603671973202097
16384.0,399.2031379534349,402.1238596594935,399.20315064187434,-2.9207217060586004,-1.2688439426256082e-05,-1.4603608530293002
32768.0,565.7683007224498,568.6890160842709,565.7683070666517,-2.920715361821067,-6.344201892716228e-06,-1.4603576809105334
65536.0,801.3270071292714,804.247719318987,801.3270103013679,-2.9207121897156867,-3.172096512571443e-06,-1.4603560948578433
