case,boundary_samples,area,rotation_deg,reflect_x,dirichlet_exact_spectral_distance,fd_dirichlet_relative_l2_difference,q_top_ritz_relative_l2_difference,q_probe_mixed_low,q_probe_mixed_high,q_probe_corner_localized,q_dense_matrix_stored
base_unit_n64,64,1.0,0.0,False,0.0,0.025874112538062214,0.29141889383155783,0.49577434825996775,0.46576466379420595,0.6524104019838199,False
base_unit_n96,96,1.0,0.0,False,0.0,0.023477658216010996,0.315273011408741,0.4037108795543463,0.3608206530496601,0.537409163273297,False
base_unit_n128,128,1.0,0.0,False,0.0,0.021417143196158495,0.44796859436901976,0.4481171202337138,0.384308444264413,0.6211104100086146,False
rotated_37deg_n96,96,1.0,37.0,False,0.0,0.026242727771563962,0.3152730114087397,0.4037108795543466,0.36082065304966077,0.5374091632732975,False
reflected_rotated_n96,96,1.0,-21.0,True,0.0,0.01414077627739122,0.3152730114087323,0.4037108795543464,0.3608206530496604,0.5374091632732974,False
large_area_2p25_n96,96,2.25,12.0,False,0.0,0.013779476522701131,0.31527301140874014,0.4037108795543457,0.36082065304966005,0.5374091632732969,False
small_area_0p64_n96,96,0.64,-33.0,False,0.0,0.017443359818384893,0.3152730114087333,0.40371087955434626,0.36082065304965955,0.5374091632732974,False
