n_scale,n_theta,n_nodes,fast_setup_ms,streamed_setup_ms,fast_apply_ms,streamed_apply_ms,measured_apply_speedup,relative_fast_vs_streamed,generated_symbol_entries,stored_three_jet_scalars,dense_entries_avoided,fast_complexity,streamed_complexity,dense_matrix_stored
8,16,128,2.3350420087808743,0.014332996215671301,2.3904580011731014,1.4743749925401062,0.6167751082916187,6.855209285591783e-15,256,104,16384,O(N log N),O(n_s^2 n_theta log n_theta),False
16,32,512,8.345249996636994,0.0202919909497723,8.299958004499786,9.053417001268826,1.090778651694449,2.0493818521955384e-14,1024,208,262144,O(N log N),O(n_s^2 n_theta log n_theta),False
32,64,2048,29.48324999306351,0.03275000199209899,29.04620899062138,58.19662500289269,2.003587628997766,5.877187720191457e-14,4096,416,4194304,O(N log N),O(n_s^2 n_theta log n_theta),False
64,128,8192,113.44112500955816,0.06416700489353389,110.49816700688098,421.9342919968767,3.818473223819196,1.560578464024231e-13,16384,832,67108864,O(N log N),O(n_s^2 n_theta log n_theta),False
