operator,n_meridian,n_theta,n_nodes,degree,order,eigenvalue,continuum_target,dtn_target,relative_error_to_continuum,relative_error_to_dtn,relative_residual_to_continuum,batch_apply_ms,dense_matrix_stored
inverse_square_control,8,16,128,1,0,0.9874158813182464,1.0,1.0,0.012584118681753576,0.012584118681753576,0.012591579852526616,1.2656659964704886,False
inverse_square_control,8,16,128,1,1,1.0017046473713846,1.0,1.0,0.0017046473713846488,0.0017046473713846488,0.030175048883777006,1.2656659964704886,False
inverse_square_control,8,16,128,2,0,1.4611676207614432,1.5,2.0,0.025888252825704505,0.2694161896192784,0.029604494402656206,1.2656659964704886,False
inverse_square_control,8,16,128,2,1,1.4934446986581469,1.5,2.0,0.004370200894568743,0.25327765067092656,0.042037107381822265,1.2656659964704886,False
inverse_square_control,8,16,128,2,2,1.478718880731967,1.5,2.0,0.014187412845355407,0.26064055963401656,0.020680484326900315,1.2656659964704886,False
inverse_square_control,8,16,128,3,0,1.7550352133663614,1.8333333333333333,3.0,0.04270806543653012,0.4149882622112129,0.0447669158149886,1.2656659964704886,False
inverse_square_control,8,16,128,3,1,1.8077178406676278,1.8333333333333333,3.0,0.013972086908566642,0.39742738644412406,0.05616159084124342,1.2656659964704886,False
inverse_square_control,8,16,128,3,2,1.794782778788329,1.8333333333333333,3.0,0.02102757520636594,0.4017390737372237,0.033702457592248436,1.2656659964704886,False
inverse_square_control,8,16,128,3,3,1.7782017787628819,1.8333333333333333,3.0,0.030071757038428026,0.40726607374570606,0.03257252155834227,1.2656659964704886,False
inverse_square_control,8,16,128,4,0,1.9503921446063657,2.0833333333333335,4.0,0.06381177058894455,0.5124019638484085,0.06792871503374014,1.2656659964704886,False
inverse_square_control,8,16,128,4,1,2.0288573801652325,2.0833333333333335,4.0,0.02614845752068845,0.49278565495869187,0.07184400045150363,1.2656659964704886,False
inverse_square_control,8,16,128,4,2,2.01521572497245,2.0833333333333335,4.0,0.03269645201322405,0.4961960687568875,0.051387989175966875,1.2656659964704886,False
inverse_square_control,8,16,128,4,3,2.0067296048914676,2.0833333333333335,4.0,0.03676978965209564,0.4983175987771331,0.04309340802313234,1.2656659964704886,False
inverse_square_control,8,16,128,4,4,1.981544314657643,2.0833333333333335,4.0,0.04885872896433142,0.5046139213355892,0.050244097827366704,1.2656659964704886,False
inverse_square_control,8,16,128,5,0,2.080429538112583,2.283333333333333,5.0,0.08886297600908769,0.5839140923774834,0.091923617252275,1.2656659964704886,False
inverse_square_control,8,16,128,5,1,2.1915122505295357,2.283333333333333,5.0,0.04021361290677264,0.5616975498940928,0.0888794039821945,1.2656659964704886,False
inverse_square_control,8,16,128,5,2,2.171735483688316,2.283333333333333,5.0,0.04887497064745278,0.5656529032623367,0.07369448702523494,1.2656659964704886,False
inverse_square_control,8,16,128,5,3,2.1749978350908803,2.283333333333333,5.0,0.0474462036098334,0.5650004329818239,0.058254219346691526,1.2656659964704886,False
