shape,n_nodes,relative_difference,modal_ms,direct_pair_stream_ms,dense_matrix_stored
sphere,32,4.443059973708341e-16,0.29770800028927624,0.7938750059111044,False
prolate,32,5.036290037674953e-16,0.272374993073754,0.7927909900899976,False
torus,32,1.1133411481696098e-15,0.2680829929886386,0.7916250033304095,False
frustum,32,3.3486903561235222e-16,0.26779099425766617,0.7847079978091642,False
