shape,target_kind,panels,corner,interior_angle,lambda,trim,local_delta,zeta_weight,h_lambda
star,corner,24,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.016508451850827943,-0.1816135228676527,0.18899027240859212
star,corner,24,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.033816279994455675,-0.2410472185620165,2.5804784801343726e-05
star,corner,24,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,0.0004098039700835415,-0.18161352286765617,0.18899027240859206
star,corner,48,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.25925653594265785,-0.2410472185620165,2.5804784801343726e-05
star,corner,48,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.0003016528141242536,-0.1816135228676527,0.18899027240859212
star,corner,48,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,0.03630203158957371,-0.2410472185620165,2.5804784801343726e-05
star,corner,48,3.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.017177687277729614,-0.1816135228676527,0.18899027240859212
star,corner,48,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.10051938939351451,-0.2410472185620165,2.5804784801343726e-05
star,corner,48,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.015423064850095758,-0.1816135228676527,0.18899027240859212
star,corner,48,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.10929025559596833,-0.2410472185620165,2.5804784801343726e-05
star,corner,48,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.016508451850827943,-0.1816135228676527,0.18899027240859212
star,corner,48,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.033816279994455675,-0.2410472185620165,2.5804784801343726e-05
star,corner,48,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,0.0004098039700835415,-0.18161352286765617,0.18899027240859206
star,corner,96,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.2592565359410157,-0.2410472185620165,2.5804784801343726e-05
star,corner,96,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.00030165281412426054,-0.1816135228676527,0.18899027240859212
star,corner,96,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,0.03630203158932676,-0.2410472185620165,2.5804784801343726e-05
