n,resultant_ms,streamed_direct_ms,denominator_support,theoretical_simplex_support,total_retained_support,scalar_polynomial_multiplications,peeled_sum_audit_error,graph_relative_error,passes_strict_audit,stored_dense_matrix
4,2.8628330037463456,0.004749977961182594,122,165,248,1479,1.3591842040450262e-15,2.6912621427234606e-16,True,False
6,15.35412500379607,0.01058299676515162,353,455,815,11069,8.513563576113306e-15,2.208293777528881e-15,True,False
8,56.71320797409862,0.020957988454028964,827,969,1977,52107,7.996073728251557e-14,1.8034035253543794e-14,True,False
10,153.6400000040885,0.029875023756176233,1561,1771,3879,180925,9.16125325174249e-13,1.8756165635389705e-13,False,False
12,362.01395801617764,0.048124988097697496,2622,2925,6716,512615,3.730830181233435e-12,9.056172729197747e-13,False,False
14,788.7302500021178,0.06783401477150619,4078,4495,10684,1246513,3.329424808093822e-11,8.681173758275918e-12,False,False
16,1509.4120840076357,0.09091600077226758,5993,6545,15975,2714003,1.895771569915245e-10,9.035124553318411e-11,False,False
