shape,family,problem,method,label,competitor_class,n,mode,time_big_o,storage_big_o,shared_circle_solve_ms,shape_pullback_ms,shape_repay_ms,standalone_shape_pde_ms,batched_problem_shape_ms,full_suite_amortized_ms,timing_scope,relative_l2_vs_generated_q,relative_l2_vs_production_q,relative_l2_vs_continuum,dense_matrix_stored
asymmetric_limacon,asymmetric,poisson,direct_naive_dft_repaid,direct repaid Q spectrum via naive DFT,dense_time_not_dense_storage,256,7,O(n^2),O(n),19.61858302820474,0.10054209269583225,0.11270795948803425,19.831833080388606,1.0306910116923973,0.9502573375357315,circle_solve_shared_across_shapes,4.017229939543729e-14,4.017229939543729e-14,4.017229939543729e-14,False
asymmetric_limacon,asymmetric,helmholtz,direct_naive_dft_repaid,direct repaid Q spectrum via naive DFT,dense_time_not_dense_storage,256,7,O(n^2),O(n),19.039083970710635,0.10054209269583225,0.10987499263137579,19.249501056037843,1.0037122507734844,0.9232785766168187,circle_solve_shared_across_shapes,5.05669708709406e-14,5.05669708709406e-14,5.05669708709406e-14,False
asymmetric_limacon,asymmetric,wave,direct_naive_dft_repaid,direct repaid Q spectrum via naive DFT,dense_time_not_dense_storage,256,7,O(n^2),O(n),19.42508399952203,0.10054209269583225,0.11024996638298035,19.635876058600843,1.0201705590588972,0.9397368849022314,circle_solve_shared_across_shapes,5.394111307305165e-14,5.394111307305165e-14,5.394111307305165e-14,False
asymmetric_limacon,asymmetric,laplace_dtn,fd_sqrt_laplacian_fft,finite-difference sqrt-Laplacian surrogate + FFT,local_fd_surrogate,256,7,O(n log n),O(n),0.5264159990474582,0.10054209269583225,0.1076660118997097,0.7346241036430001,0.2301421045558527,0.1497084303991869,circle_solve_shared_across_shapes,0.0012294316897351997,0.0012294316897351997,0.0012294316897351997,False
asymmetric_limacon,asymmetric,heat,fd_sqrt_laplacian_fft,finite-difference sqrt-Laplacian surrogate + FFT,local_fd_surrogate,256,7,O(n log n),O(n),0.5329580744728446,0.10054209269583225,0.11437502689659595,0.7478751940652728,0.23712370602879673,0.15669003187213093,circle_solve_shared_across_shapes,0.0014640944520837528,0.0014640944520837528,0.0014640944520837528,False
asymmetric_limacon,asymmetric,poisson,fd_sqrt_laplacian_fft,finite-difference sqrt-Laplacian surrogate + FFT,local_fd_surrogate,256,7,O(n log n),O(n),0.5090000340715051,0.10054209269583225,0.1141249667853117,0.723667093552649,0.23587539423412335,0.15544172007745755,circle_solve_shared_across_shapes,0.0011722599078233217,0.0011722599078233217,0.0011722599078233217,False
asymmetric_limacon,asymmetric,helmholtz,fd_sqrt_laplacian_fft,finite-difference sqrt-Laplacian surrogate + FFT,local_fd_surrogate,256,7,O(n log n),O(n),0.5377499619498849,0.10054209269583225,0.11766701936721802,0.7559590740129352,0.24061536047762883,0.16018168632096302,circle_solve_shared_across_shapes,0.0034217569276255516,0.0034217569276255516,0.0034217569276255516,False
asymmetric_limacon,asymmetric,wave,fd_sqrt_laplacian_fft,finite-difference sqrt-Laplacian surrogate + FFT,local_fd_surrogate,256,7,O(n log n),O(n),0.5216669524088502,0.10054209269583225,0.1111660385504365,0.7333750836551189,0.23344425426330417,0.15301058010663837,circle_solve_shared_across_shapes,0.002143784123349609,0.002143784123349609,0.002143784123349609,False
crescent_teardrop,near_cusp_smooth,laplace_dtn,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.499167013913393,0.09887502528727055,0.11208292562514544,0.710124964825809,0.2317565764921407,0.15265655626232427,circle_solve_shared_across_shapes,1.449531000081442e-14,1.449531000081442e-14,1.449531000081442e-14,False
crescent_teardrop,near_cusp_smooth,heat,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.5082499701529741,0.09887502528727055,0.11662498582154512,0.7237499812617898,0.23667709319852293,0.1575770729687065,circle_solve_shared_across_shapes,1.2557405564316732e-15,1.2557405564316732e-15,1.2557405564316732e-15,False
crescent_teardrop,near_cusp_smooth,poisson,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.4906250396743417,0.09887502528727055,0.11395802721381187,0.7034580921754241,0.2332757624875133,0.15417574225769687,circle_solve_shared_across_shapes,1.2928036038929106e-15,1.2928036038929106e-15,1.2928036038929106e-15,False
