shape,family,problem,n,mode,generated_q_residual,continuum_rel_error,raw_cycle_diagnostic_rel_error,shared_circle_solve_ms,shape_pullback_ms,shape_repay_ms,standalone_shape_pde_ms,batched_problem_shape_ms,full_suite_amortized_ms,timing_scope,transport,work_model,dense_q_matrix_stored
naca_like_airfoil_smooth,airfoil_smooth,poisson,2048,7,1.8036299230126607e-15,1.8036299230126607e-15,0.0032552083333332957,5.066291894763708,0.9597499156370759,1.2919160071760416,7.317957817576826,2.462761418428272,1.6949614859186113,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
naca_like_airfoil_smooth,airfoil_smooth,helmholtz,2048,7,2.3855849266038756e-15,2.3855849266038756e-15,0.009470077622541874,5.167790921404958,0.9597499156370759,1.2698749778792262,7.39741581492126,2.4449495152415084,1.677149582731848,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
naca_like_airfoil_smooth,airfoil_smooth,wave,2048,7,2.260569312484593e-15,2.260569312484593e-15,0.0060032567179030645,5.142082925885916,0.9597499156370759,1.3353750109672546,7.437207852490246,2.5093783818495767,1.7415784493399165,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
joukowski_soft_airfoil,airfoil_joukowski_surrogate,laplace_dtn,2048,7,6.966428201481988e-14,6.966428201481988e-14,0.003429691327780548,5.1466659642755985,0.9630830027163029,1.3075829483568668,7.417331915348768,2.4851103662513196,1.7146439640782773,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
joukowski_soft_airfoil,airfoil_joukowski_surrogate,heat,2048,7,1.3366411502640408e-15,1.3366411502640408e-15,0.004059122214494873,5.113458959385753,0.9630830027163029,1.3242920394986868,7.400834001600742,2.500435832189396,1.7299694300163537,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
joukowski_soft_airfoil,airfoil_joukowski_surrogate,poisson,2048,7,1.837736343527447e-15,1.837736343527447e-15,0.003255208333333409,5.066291894763708,0.9630830027163029,1.296958071179688,7.326332968659699,2.4711365695111454,1.700670167338103,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
joukowski_soft_airfoil,airfoil_joukowski_surrogate,helmholtz,2048,7,2.3454717718792516e-15,2.3454717718792516e-15,0.009470077622541736,5.167790921404958,0.9630830027163029,1.2637500185519457,7.394623942673206,2.442157642993455,1.671691240820413,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
joukowski_soft_airfoil,airfoil_joukowski_surrogate,wave,2048,7,2.2779274709659215e-15,2.2779274709659215e-15,0.006003256717903123,5.142082925885916,0.9630830027163029,1.3494589366018772,7.454624865204096,2.5267953945634263,1.7563289923903844,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
thin_cambered_airfoil,airfoil_cambered,laplace_dtn,2048,7,6.962500433403546e-14,6.962500433403546e-14,0.0034296913277805196,5.1466659642755985,1.123041962273419,1.2793330242857337,7.549040950834751,2.6168194017373025,1.7183858319185674,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
thin_cambered_airfoil,airfoil_cambered,heat,2048,7,1.3207621015690966e-15,1.3207621015690966e-15,0.004059122214494831,5.113458959385753,1.123041962273419,1.337790978141129,7.574291899800301,2.6738937303889543,1.7754601605702192,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
thin_cambered_airfoil,airfoil_cambered,poisson,2048,7,1.7903256131788665e-15,1.7903256131788665e-15,0.0032552083333333157,5.066291894763708,1.123041962273419,1.2799589894711971,7.469292846508324,2.6140964473597705,1.7156628775410354,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
thin_cambered_airfoil,airfoil_cambered,helmholtz,2048,7,2.3959332087566934e-15,2.3959332087566934e-15,0.009470077622541788,5.167790921404958,1.123041962273419,1.264957943931222,7.555790827609599,2.603324527929847,1.7048909581111125,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
thin_cambered_airfoil,airfoil_cambered,wave,2048,7,2.2552017048351858e-15,2.2552017048351858e-15,0.006003256717903068,5.142082925885916,1.123041962273419,1.3314998941496015,7.596624782308936,2.6687953116682666,1.7703617418495319,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gear_star_airfoil_hybrid,multiscale_airfoil_star,laplace_dtn,2048,7,6.312529391772888e-14,6.312529391772888e-14,0.003429691327780606,5.1466659642755985,0.9332089684903622,1.2938339496031404,7.373708882369101,2.4414873332716525,1.6949201584793627,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gear_star_airfoil_hybrid,multiscale_airfoil_star,heat,2048,7,1.2456699150141484e-15,1.2456699150141484e-15,0.004059122214494933,5.113458959385753,0.9332089684903622,1.3293330557644367,7.376000983640552,2.4756028142292053,1.7290356394369155,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gear_star_airfoil_hybrid,multiscale_airfoil_star,poisson,2048,7,1.7618722229804772e-15,1.7618722229804772e-15,0.0032552083333334853,5.066291894763708,0.9332089684903622,1.2938330182805657,7.293333881534636,2.4381374823860824,1.6915703075937927,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gear_star_airfoil_hybrid,multiscale_airfoil_star,helmholtz,2048,7,2.243708780596313e-15,2.243708780596313e-15,0.009470077622541645,5.167790921404958,0.9332089684903622,1.2865409953519702,7.38754088524729,2.4350745855675386,1.6885074107752494,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gear_star_airfoil_hybrid,multiscale_airfoil_star,wave,2048,7,2.0693025845081774e-15,2.0693025845081774e-15,0.006003256717903208,5.142082925885916,0.9332089684903622,1.3491669669747353,7.424458861351013,2.4966293907103436,1.7500622159180543,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_left_smooth_surrogate,gww_pair_surrogate,laplace_dtn,2048,7,7.054433060152338e-14,7.054433060152338e-14,0.003429691327780495,5.1466659642755985,0.9235839825123549,1.2847499456256628,7.354999892413616,2.4227783433161676,1.6839111573062837,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_left_smooth_surrogate,gww_pair_surrogate,heat,2048,7,1.273305047154955e-15,1.273305047154955e-15,0.004059122214494801,5.113458959385753,0.9235839825123549,1.3431250117719173,7.380167953670025,2.4797697842586786,1.7409025982487947,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_left_smooth_surrogate,gww_pair_surrogate,poisson,2048,7,1.7356873819162894e-15,1.7356873819162894e-15,0.0032552083333333122,5.066291894763708,0.9235839825123549,1.26866705249995,7.258542929776013,2.4033465306274593,1.6644793446175754,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
