shape,refinement,nodes,maximum_raw_held_out_error,maximum_repaid_held_out_error,median_repaid_held_out_error
exact_sphere,0,72,0.5596810171165449,1.0869064280280996,1.0754794458575208
exact_sphere,1,288,0.41882851578281305,0.494569298544446,0.4344176753420857
exact_sphere,2,1152,0.482539978258093,0.3496253229225225,0.3280829107944718
exact_ellipsoid,0,72,0.504188184168134,2.525678653816171,1.846157494418236
exact_ellipsoid,1,288,0.4168526973463836,0.6041695444570908,0.5158019661020101
exact_ellipsoid,2,1152,0.476285808135714,0.38423188881163606,0.3463242550676496
funky_pn,0,72,0.4265027422280454,1.2416533852117757,1.0547172689316484
funky_pn,1,288,0.5579201307959468,0.6489705220291847,0.5155667200070897
funky_pn,2,1152,0.5253194662174493,0.36989360667581583,0.3167872008622719
